"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v2-s4-005","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","已知全集 U = R，集合 A = {x | x² - 2x - 3 ≤ 0}，则 ∁_U A = ______。","","(-∞, -1) ∪ (3, +∞)","(-∞, -1) ∪ (3, +∞) | (-∞,-1)∪(3,+∞)","解不等式得 A = [-1,3]，补集为 (-∞,-1) ∪ (3,+∞)。注意端点取不到。","grade-pass-sample"
"hjb-high-ds-v2-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","设命题 p：∃ x ∈ R，x² + 2x + m ≤ 0。若 p 是真命题，则实数 m 的取值范围是______。","","m ≤ 1","m ≤ 1 | m≤1","存在 x 使不等式成立，即二次函数最小值 ≤0。y=x²+2x+m 最小值为 m-1，故 m-1 ≤ 0，得 m ≤ 1。","grade-pass-sample"
"hjb-high-ds-v2-s4-011","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","已知集合 A = {x | x 是小于 10 的正偶数}，B = {2, 4, 6, 8, 10}。则 A ∩ B = ______。","","{2, 4, 6, 8}","{2, 4, 6, 8} | {2,4,6,8}","A = {2,4,6,8}，B = {2,4,6,8,10}，交集为公共元素 {2,4,6,8}。","grade-pass-sample"
"hjb-high-ds-v2-s4-014","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","设集合 A = {x | x^2 - 5x + 6 = 0}，B = {x | mx - 1 = 0}。若 B ⊆ A，则实数 m 的所有可能取值构成的集合为 ______。","","{0, 1/2, 1/3}","{0, 1/2, 1/3} | {0,1/2,1/3}","A = {2,3}。B ⊆ A 时，B 可为 ∅ 或 {2} 或 {3}。m=0 时 B=∅；m=1/2 时 B={2}；m=1/3 时 B={3}。故 m 的取值集合为 {0,1/2,1/3}。","grade-pass-sample"
"hjb-high-ds-v2-s4-018","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","已知集合 A = {x | x^2 - 3x + 2 = 0}，B = {x | 0 < x < 5, x ∈ N}。请写出 A × B 的一个子集，要求该子集含有两个元素，且这两个元素的第一个坐标之和为 3。","","{(1,1), (2,2)} 或 {(1,2), (2,1)} 等","{(1,1), (2,2)} 或 {(1,2), (2,1)} 等 | {(1,1), (2,2)} | {(1,2), (2,1)}","A = {1,2}，B = {1,2,3,4}。A×B 中第一个坐标之和为 3 的有序对为 (1,2) 和 (2,1)，或 (1,1) 和 (2,2) 等。任选一组即可。","grade-pass-sample"
"hjb-high-ds-v2-s4-031","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","已知全集 U = {1, 2, 3, 4, 5, 6, 7, 8}，集合 A = {2, 4, 6, 8}，B = {1, 2, 3, 4}。则 (∁_U A) ∩ B 等于（ ）","{1, 3} | {2, 4} | {5, 7} | {1, 2, 3, 4}","{1, 3}","{1, 3}","∁_U A = {1,3,5,7}，与 B={1,2,3,4} 取交集得 {1,3}。注意先求补集再求交集。","grade-pass-sample"
"hjb-high-ds-v2-s4-070","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","已知关于 x 的不等式 x^2 - 2ax + a^2 - 1 ≤ 0 的解集为 A，且 A ⊆ [-1, 3]，则实数 a 的取值范围是（ ）。","[0, 2] | [-1, 3] | [0, 1] | [1, 2]","[0, 2]","[0, 2]","不等式化为 (x - a + 1)(x - a - 1) ≤ 0，解集为 [a-1, a+1]。由 A ⊆ [-1,3] 得 a-1 ≥ -1 且 a+1 ≤ 3，解得 0 ≤ a ≤ 2。","grade-pass-sample"
"hjb-high-ds-v2-s4-079","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Foundation","若 a, b ∈ R，则“a > b”是“a|a| > b|b|”的（ ）","A. 充分不必要条件 | B. 必要不充分条件 | C. 充要条件 | D. 既不充分也不必要条件","C. 充要条件","C. 充要条件","令 f(x)=x|x|，当 x≥0 时 f(x)=x^2 递增；当 x<0 时 f(x)=-x^2 递增，故 f(x) 在 R 上单调递增。因此 a>b ⇔ f(a)>f(b)，即充要条件。","grade-pass-sample"
"hjb-high-ds-v2-s4-096","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Exam","某工厂生产一种产品，固定成本为200万元，每生产一件产品的可变成本为0.5万元，售价为1万元。若要使利润不低于100万元，则至少需要生产多少件产品？","","600","600","设生产x件，利润为(1-0.5)x-200≥100，即0.5x≥300，x≥600，故至少生产600件。","grade-pass-sample"
"hjb-high-ds-v2-s4-097","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Core","下列不等式中，解集为 {x | x < 1 或 x > 3} 的是（ ）","x² - 4x + 3 > 0 | x² - 4x + 3 < 0 | x² - 2x - 3 > 0 | x² - 2x - 3 < 0","x² - 4x + 3 > 0","x² - 4x + 3 > 0","不等式x²-4x+3>0即(x-1)(x-3)>0，解集为x<1或x>3，符合题意。其他选项解集不同。","grade-pass-sample"
"hjb-high-ds-v2-s4-098","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Challenge","已知正数 x, y 满足 x + 2y = 1，则 1/x + 1/y 的最小值为______。","","3+2√2","3+2√2","1/x+1/y=(x+2y)(1/x+1/y)=3+2y/x+x/y≥3+2√2，当x=√2y时取等，结合x+2y=1得最小值3+2√2。","grade-pass-sample"
"hjb-high-ds-v2-s4-100","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Exam","若不等式 ax² + bx + c > 0 的解集为 (-2, 3)，则不等式 cx² + bx + a < 0 的解集为（　）","(-1/2, 1/3) | (-∞, -1/2) ∪ (1/3, +∞) | (-2, 3) | (-∞, -2) ∪ (3, +∞)","(-1/2, 1/3)","(-1/2, 1/3)","由原解集知 a<0，根为 -2、3，故 b=-a，c=-6a。代入得 a(-6x²-x+1)<0，因 a<0，等价于 6x²+x-1<0，解为 (-1/2,1/3)。","grade-pass-sample"
"hjb-high-ds-v2-s4-101","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Core","计算：\(\log_2 6 - \log_4 9 + \log_3 \frac{1}{27}\)。","","-2","-2","因为 log₄9=log₂3，故 log₂6-log₄9=log₂6-log₂3=log₂2=1；又 log₃(1/27)=-3，所以原式等于 -2。","grade-pass-sample"
"hjb-high-ds-v2-s4-127","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Foundation","二轮变式0127：选择：已知 log_10(10^23)=m，求 m。","23 | 24 | 22 | 25","23","23","由对数定义，log_10(10^23)=23，所以 m=23。","grade-pass-sample"
"hjb-high-ds-v2-s4-145","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Core","下列等式中恒成立的是（ ）","log_a (M + N) = log_a M + log_a N | log_a (M - N) = \frac{\log_a M}{\log_a N} | log_a M^n = n \log_a M | \log_a \sqrt[n]{M} = \frac{1}{n} \log_a M","\log_a \sqrt[n]{M} = \frac{1}{n} \log_a M","\log_a \sqrt[n]{M} = \frac{1}{n} \log_a M","A、B 明显错误；C 中当 n 为偶数时，M 必须为正，而 D 中根式已隐含 M>0，且由对数恒等式知 D 恒成立。","grade-pass-sample"
"hjb-high-ds-v2-s4-158","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","若函数 f(x)=a^x（a>0 且 a≠1）与 g(x)=log_a x 的图像有且仅有一个公共点，则 a 的取值范围是 ______。","","(0, 1) ∪ {e^(1/e)}","(0, 1) ∪ {e^(1/e)} | (0,1)∪{e^(1/e)}","当 0<a<1 时两图像有唯一公共点；当 a>1 时公共点对应 x=a^x，即 a=x^(1/x)。函数 x^(1/x) 的最大值为 e^(1/e)，仅在 a=e^(1/e) 时唯一。","grade-pass-sample"
"hjb-high-ds-v2-s4-172","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Exam","函数 f(x) = log_a (x - 1) + 2（a > 0 且 a ≠ 1）的图像恒过定点 P，则点 P 的坐标是（　）。","(1, 2) | (2, 2) | (1, 3) | (2, 3)","(2, 2)","(2, 2)","对数函数 y = log_a x 恒过定点 (1,0)。将 x 替换为 x-1，图像向右平移1个单位；再加2，向上平移2个单位。故定点变为 (1+1, 0+2) = (2,2)。","grade-pass-sample"
"hjb-high-ds-v2-s4-182","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","若指数函数 f(x) = a^x (a > 0, a ≠ 1) 的图像经过点 (2, 9)，且对数函数 g(x) = log_b x 的图像经过点 (9, 2)，则 a + b = ______。","","6","6","由 a^2 = 9 得 a = 3；由 log_b 9 = 2 得 b^2 = 9，b = 3。故 a + b = 6。","grade-pass-sample"
"hjb-high-ds-v2-s4-216","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","二轮变式0216：解答：已知 f(x)=11x+13，求 f(18)。","","211","211","f(18)=11×18+13=211。","grade-pass-sample"
"hjb-high-ds-v2-s4-243","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","已知函数 f(x)=x³+ax²+bx+c 在 x=1 处有极值，且 f(0)=2，f'(0)=-3。求 a, b, c 的值。","","a=0, b=-3, c=2","a=0, b=-3, c=2 | a=0,b=-3,c=2","f(0)=c=2。f'(x)=3x²+2ax+b，由 f'(0)=b=-3。由 f'(1)=3+2a-3=0 得 a=0。故 a=0, b=-3, c=2。","grade-pass-sample"
"hjb-high-ds-v2-s4-245","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","二轮变式0245：填空：已知 f(x)=8x+4，求 f(16)。","","132","132","f(16)=8×16+4=132。","grade-pass-sample"
"hjb-high-ds-v2-s4-289","S4","必修 第二册","三角","三角","multiple-choice","Challenge","二轮变式0289：选择：在三角形 ABC 中，若 AB=6，AC=9，且 ∠A=60°，表达式 AB·AC 的值是多少？","60 | 54 | 48 | 66","54","54","AB·AC 只表示两边长度乘积，6×9=54。","grade-pass-sample"
"hjb-high-ds-v2-s4-301","S4","必修 第二册","三角","三角","multiple-choice","Challenge","二轮变式0301：选择：在三角形 ABC 中，若 AB=2，AC=6，且 ∠A=60°，表达式 AB·AC 的值是多少？","14 | 10 | 12 | 16","12","12","AB·AC 只表示两边长度乘积，2×6=12。","grade-pass-sample"
"hjb-high-ds-v2-s4-312","S4","必修 第二册","三角","三角","short-answer","Core","二轮变式0312：解答：在三角形 ABC 中，若 AB=3，AC=5，且 ∠A=60°，表达式 AB·AC 的值是多少？","","15","15","AB·AC 只表示两边长度乘积，3×5=15。","grade-pass-sample"
"hjb-high-ds-v2-s4-313","S4","必修 第二册","三角","三角","multiple-choice","Challenge","二轮变式0313：选择：在三角形 ABC 中，若 AB=7，AC=9，且 ∠A=60°，表达式 AB·AC 的值是多少？","70 | 63 | 56 | 77","63","63","AB·AC 只表示两边长度乘积，7×9=63。","grade-pass-sample"
"hjb-high-ds-v2-s4-327","S4","必修 第二册","三角函数","三角函数","short-answer","Core","二轮变式0327：解答：函数 y=6sin(2x+2π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-330","S4","必修 第二册","三角函数","三角函数","short-answer","Core","二轮变式0330：解答：函数 y=3sin(2x+12π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-370","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","二轮变式0370：选择：函数 y=8sin(2x+5π/6) 的最小正周期是多少？","2π | π/2 | π | 4π","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-373","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","二轮变式0373：选择：函数 y=4sin(2x+8π/6) 的最小正周期是多少？","2π | π/2 | 4π | π","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-375","S4","必修 第二册","三角函数","三角函数","short-answer","Core","二轮变式0375：解答：函数 y=7sin(2x+9π/6) 的最小正周期是多少？","","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-376","S4","必修 第二册","三角函数","三角函数","multiple-choice","Challenge","二轮变式0376：选择：函数 y=4sin(2x+10π/6) 的最小正周期是多少？","π | 2π | π/2 | 4π","π","π","sin(ωx+φ) 的周期为 2π/|ω|，这里 ω=2，所以周期为 π。","grade-pass-sample"
"hjb-high-ds-v2-s4-380","S4","必修 第二册","平面向量","平面向量","multiple-choice","Foundation","二轮变式0380：选择：已知向量 u=(7,10)，v=(16,11)，求 u·v。","239 | 222 | 205 | 256","222","222","u·v=7×16+10×11=222。","grade-pass-sample"
"hjb-high-ds-v2-s4-381","S4","必修 第二册","平面向量","平面向量","fill-in","Core","二轮变式0381：填空：已知向量 u=(2,12)，v=(13,13)，求 u·v。","","182","182","u·v=2×13+12×13=182。","grade-pass-sample"
"hjb-high-ds-v2-s4-382","S4","必修 第二册","平面向量","平面向量","multiple-choice","Challenge","二轮变式0382：选择：已知向量 u=(7,3)，v=(20,4)，求 u·v。","162 | 142 | 172 | 152","152","152","u·v=7×20+3×4=152。","grade-pass-sample"
"hjb-high-ds-v2-s4-396","S4","必修 第二册","平面向量","平面向量","multiple-choice","Core","二轮变式0396：选择：已知向量 u=(11,7)，v=(7,8)，求 u·v。","151 | 115 | 133 | 169","133","133","u·v=11×7+7×8=133。","grade-pass-sample"
"hjb-high-ds-v2-s4-399","S4","必修 第二册","平面向量","平面向量","fill-in","Core","二轮变式0399：填空：已知向量 u=(10,4)，v=(5,5)，求 u·v。","","70","70","u·v=10×5+4×5=70。","grade-pass-sample"
"hjb-high-ds-v2-s4-415","S4","必修 第二册","平面向量","平面向量","fill-in","Challenge","二轮变式0415：填空：已知向量 u=(7,9)，v=(18,10)，求 u·v。","","216","216","u·v=7×18+9×10=216。","grade-pass-sample"
"hjb-high-ds-v2-s4-416","S4","必修 第二册","平面向量","平面向量","multiple-choice","Foundation","二轮变式0416：选择：已知向量 u=(8,3)，v=(6,4)，求 u·v。","71 | 49 | 82 | 60","60","60","u·v=8×6+3×4=60。","grade-pass-sample"
"hjb-high-ds-v2-s4-433","S4","必修 第二册","平面向量","平面向量","fill-in","Core","二轮变式0433：填空：已知向量 u=(4,11)，v=(19,12)，求 u·v。","","208","208","u·v=4×19+11×12=208。","grade-pass-sample"
"hjb-high-ds-v2-s4-442","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0442：选择：复数 z=(12+1i)+(20-1i)，求 z 的实部。","33 | 31 | 32 | 34","32","32","实部相加，虚部抵消，z=32，实部为 32。","grade-pass-sample"
"hjb-high-ds-v2-s4-443","S4","必修 第二册","复数","复数","fill-in","Core","二轮变式0443：填空：复数 z=(4+11i)+(6-11i)，求 z 的实部。","","10","10","实部相加，虚部抵消，z=10，实部为 10。","grade-pass-sample"
"hjb-high-ds-v2-s4-445","S4","必修 第二册","复数","复数","fill-in","Core","二轮变式0445：填空：复数 z=(3+8i)+(19-8i)，求 z 的实部。","","22","22","实部相加，虚部抵消，z=22，实部为 22。","grade-pass-sample"
"hjb-high-ds-v2-s4-449","S4","必修 第二册","复数","复数","fill-in","Core","二轮变式0449：填空：复数 z=(6+7i)+(7-7i)，求 z 的实部。","","13","13","实部相加，虚部抵消，z=13，实部为 13。","grade-pass-sample"
"hjb-high-ds-v2-s4-454","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0454：选择：复数 z=(6+8i)+(9-8i)，求 z 的实部。","16 | 15 | 14 | 17","15","15","实部相加，虚部抵消，z=15，实部为 15。","grade-pass-sample"
"hjb-high-ds-v2-s4-473","S4","必修 第二册","复数","复数","fill-in","Core","二轮变式0473：填空：复数 z=(6+8i)+(4-8i)，求 z 的实部。","","10","10","实部相加，虚部抵消，z=10，实部为 10。","grade-pass-sample"
"hjb-high-ds-v2-s4-481","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0481：选择：复数 z=(6+8i)+(15-8i)，求 z 的实部。","22 | 20 | 23 | 21","21","21","实部相加，虚部抵消，z=21，实部为 21。","grade-pass-sample"
"hjb-high-ds-v2-s4-489","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0489：选择：复数 z=(4+2i)+(7-2i)，求 z 的实部。","12 | 10 | 13 | 11","11","11","实部相加，虚部抵消，z=11，实部为 11。","grade-pass-sample"
"hjb-high-ds-v2-s4-493","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0493：选择：复数 z=(8+13i)+(15-13i)，求 z 的实部。","23 | 24 | 22 | 25","23","23","实部相加，虚部抵消，z=23，实部为 23。","grade-pass-sample"
"hjb-high-ds-v2-s4-497","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0497：选择：复数 z=(8+6i)+(18-6i)，求 z 的实部。","26 | 27 | 25 | 28","26","26","实部相加，虚部抵消，z=26，实部为 26。","grade-pass-sample"
"hjb-high-ds-v2-s4-500","S4","必修 第二册","复数","复数","multiple-choice","Core","二轮变式0500：选择：复数 z=(12+3i)+(8-3i)，求 z 的实部。","21 | 19 | 22 | 20","20","20","实部相加，虚部抵消，z=20，实部为 20。","grade-pass-sample"
"hjb-high-ds-v2-s5-021","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Core","二轮变式0521：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 10 和 5，这两条棱围成的矩形面积是多少？","","50","50","相邻垂直棱围成矩形，面积=10×5=50。","grade-pass-sample"
"hjb-high-ds-v2-s5-029","S5","必修 第三册","空间直线与平面","空间直线与平面","fill-in","Core","二轮变式0529：填空：长方体中同一顶点出发的两条互相垂直棱长分别为 2 和 13，这两条棱围成的矩形面积是多少？","","26","26","相邻垂直棱围成矩形，面积=2×13=26。","grade-pass-sample"
"hjb-high-ds-v2-s5-033","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Core","二轮变式0533：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 4 和 6，这两条棱围成的矩形面积是多少？","","24","24","相邻垂直棱围成矩形，面积=4×6=24。","grade-pass-sample"
"hjb-high-ds-v2-s5-042","S5","必修 第三册","空间直线与平面","空间直线与平面","short-answer","Challenge","二轮变式0542：解答：长方体中同一顶点出发的两条互相垂直棱长分别为 7 和 4，这两条棱围成的矩形面积是多少？","","28","28","相邻垂直棱围成矩形，面积=7×4=28。","grade-pass-sample"
"hjb-high-ds-v2-s5-059","S5","必修 第三册","简单几何体","简单几何体","fill-in","Foundation","二轮变式0559：填空：一个长方体的长、宽、高分别为 11、11、14，求体积。","","1694","1694","长方体体积=长×宽×高=11×11×14=1694。","grade-pass-sample"
"hjb-high-ds-v2-s5-083","S5","必修 第三册","简单几何体","简单几何体","fill-in","Foundation","二轮变式0583：填空：一个长方体的长、宽、高分别为 11、11、16，求体积。","","1936","1936","长方体体积=长×宽×高=11×11×16=1936。","grade-pass-sample"
"hjb-high-ds-v2-s5-090","S5","必修 第三册","简单几何体","简单几何体","short-answer","Challenge","二轮变式0590：解答：一个长方体的长、宽、高分别为 8、8、7，求体积。","","448","448","长方体体积=长×宽×高=8×8×7=448。","grade-pass-sample"
"hjb-high-ds-v2-s5-118","S5","必修 第三册","概率初步","概率初步","multiple-choice","Challenge","二轮变式0618：选择：袋中有 10 个红球和 6 个蓝球，随机取出 1 个，取到红球的概率是多少？","6/16 | 10/16 | 11/16 | 10/17","10/16","10/16","总球数为 16，红球 10 个，所以概率为 10/16。","grade-pass-sample"
"hjb-high-ds-v2-s5-119","S5","必修 第三册","概率初步","概率初步","fill-in","Foundation","二轮变式0619：填空：袋中有 11 个红球和 16 个蓝球，随机取出 1 个，取到红球的概率是多少？","","11/27","11/27","总球数为 27，红球 11 个，所以概率为 11/27。","grade-pass-sample"
"hjb-high-ds-v2-s5-131","S5","必修 第三册","概率初步","概率初步","fill-in","Foundation","二轮变式0631：填空：袋中有 3 个红球和 17 个蓝球，随机取出 1 个，取到红球的概率是多少？","","3/20","3/20","总球数为 20，红球 3 个，所以概率为 3/20。","grade-pass-sample"
"hjb-high-ds-v2-s5-146","S5","必修 第三册","概率初步","概率初步","fill-in","Challenge","二轮变式0646：填空：袋中有 7 个红球和 13 个蓝球，随机取出 1 个，取到红球的概率是多少？","","7/20","7/20","总球数为 20，红球 7 个，所以概率为 7/20。","grade-pass-sample"
"hjb-high-ds-v2-s5-160","S5","必修 第三册","概率初步","概率初步","multiple-choice","Exam","二轮变式0660：选择：袋中有 10 个红球和 14 个蓝球，随机取出 1 个，取到红球的概率是多少？","14/24 | 11/24 | 10/24 | 10/25","10/24","10/24","总球数为 24，红球 10 个，所以概率为 10/24。","grade-pass-sample"
"hjb-high-ds-v2-s5-162","S5","必修 第三册","概率初步","概率初步","short-answer","Challenge","二轮变式0662：解答：袋中有 11 个红球和 14 个蓝球，随机取出 1 个，取到红球的概率是多少？","","11/25","11/25","总球数为 25，红球 11 个，所以概率为 11/25。","grade-pass-sample"
"hjb-high-ds-v2-s5-176","S5","必修 第三册","统计","统计","fill-in","Exam","二轮变式0676：填空：一组数据为 6，17，28，求这组数据的平均数。","","17","17","三数等差，中间数就是平均数，所以平均数为 17。","grade-pass-sample"
"hjb-high-ds-v2-s5-187","S5","必修 第三册","统计","统计","multiple-choice","Foundation","二轮变式0687：选择：一组数据为 9，18，27，求这组数据的平均数。","19 | 18 | 17 | 20","18","18","三数等差，中间数就是平均数，所以平均数为 18。","grade-pass-sample"
"hjb-high-ds-v2-s5-208","S5","必修 第三册","统计","统计","multiple-choice","Challenge","二轮变式0708：选择：一组数据为 3，14，25，求这组数据的平均数。","15 | 14 | 13 | 16","14","14","三数等差，中间数就是平均数，所以平均数为 14。","grade-pass-sample"
"hjb-high-ds-v2-s5-210","S5","必修 第三册","统计","统计","short-answer","Core","二轮变式0710：解答：一组数据为 6，9，12，求这组数据的平均数。","","9","9","三数等差，中间数就是平均数，所以平均数为 9。","grade-pass-sample"
"hjb-high-ds-v2-s5-215","S5","必修 第三册","统计","统计","fill-in","Foundation","二轮变式0715：填空：一组数据为 7，8，9，求这组数据的平均数。","","8","8","三数等差，中间数就是平均数，所以平均数为 8。","grade-pass-sample"
