"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"bnu-primary-ds-v1-p1-002","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Core","树上有3只小鸟，又飞来2只。现在树上一共有多少只小鸟？请填数字。","","5","5","原来有3只，飞来2只，合起来是5只。3和2组成5。","grade-pass-sample"
"bnu-primary-ds-v1-p1-009","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Foundation","停车场里开走3辆车后，还有6辆车。停车场原来有多少辆车？请写出算式和答案。","","3+6=9","3+6=9 | 9","开走的3辆和剩下的6辆合起来就是原来的数量：3+6=9。所以原来有9辆车。","grade-pass-sample"
"bnu-primary-ds-v1-p1-010","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Core","小丽有7张贴纸，送给好朋友一些后，还剩2张。小丽送出去多少张贴纸？","2张 | 5张 | 7张 | 9张","5张","5张","原来7张，剩下2张，送出去的数量用减法：7-2=5。所以送出去5张贴纸。","grade-pass-sample"
"bnu-primary-ds-v1-p1-011","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Challenge","小美在整理她的玩具盒。她把玩具一个一个地放在桌上，一边放一边数：1、2、3、4、5、6、7。她数到7的时候，桌上正好放完了所有的玩具。请问小美一共有几个玩具？","","7","7 | 七个","小美一边放玩具一边数，数到7时正好放完，说明她一一对应地数了7个玩具，所以玩具总数是7。","grade-pass-sample"
"bnu-primary-ds-v1-p1-013","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Foundation","下面哪个数表示一个也没有？","0 | 1 | 2 | 3","0","0","0表示一个物体也没有，所以选0。","grade-pass-sample"
"bnu-primary-ds-v1-p1-015","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Challenge","小华有一些糖果，他先数出6颗给妹妹，自己还剩下0颗。小华原来有几颗糖果？请你说一说你是怎么想的。","","6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。","6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。 | 6颗 | 6","给妹妹6颗后剩下0颗，说明原来糖果全部给出，所以原来有6颗。","grade-pass-sample"
"bnu-primary-ds-v1-p1-018","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Core","两根绳子，红绳子长8米，蓝绳子长5米。哪根绳子长？长多少米？","","红绳子长，长3米。","红绳子长，长3米。 | 红绳子长，长3米 | 红绳长，长3米","8米比5米长，8-5=3，所以红绳子长3米。","grade-pass-sample"
"bnu-primary-ds-v1-p1-024","P1","upper","bnu-primary-p1-upper-comparison","比较","short-answer","Foundation","小丽有8块糖，小华有8块糖。他们的糖一样多吗？","","一样多","一样多 | 一样 | 相等","8和8相等，所以他们的糖一样多。","grade-pass-sample"
"bnu-primary-ds-v1-p1-044","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","fill-in","Challenge","一盒蜡笔，用掉一些后还剩2支。原来有8支，用掉了几支？请填数。","","6","6 | 6支","原来8支，剩下2支，用掉的部分是8-2=6支。","grade-pass-sample"
"bnu-primary-ds-v1-p1-048","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","short-answer","Foundation","盘子里有8块饼干，吃了5块，还剩几块？请写出算式和得数。","","8-5=3","8-5=3 | 3","吃了表示减少，用减法。8块去掉5块，还剩3块，算式是8-5=3。","grade-pass-sample"
"bnu-primary-ds-v1-p1-054","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","教室里有这些物品：铅笔、橡皮、尺子、跳绳、皮球、毽子。请按用途把它们分成学习用品和运动用品两类，并说出分类标准。","","学习用品：铅笔、橡皮、尺子；运动用品：跳绳、皮球、毽子。分类标准是用途。","学习用品：铅笔、橡皮、尺子；运动用品：跳绳、皮球、毽子。分类标准是用途。 | 铅笔、橡皮、尺子一组；跳绳、皮球、毽子一组；按用途分","铅笔、橡皮、尺子主要用于学习，跳绳、皮球、毽子主要用于运动，所以按用途分成两类。","grade-pass-sample"
"bnu-primary-ds-v1-p1-057","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","下面有一些玩具：塑料皮球、塑料积木、布娃娃、布沙包。请按材质把它们分成两类，写出每类有哪些玩具，并说出分类标准。","","塑料类：塑料皮球、塑料积木；布类：布娃娃、布沙包。分类标准是材质。","塑料类：塑料皮球、塑料积木；布类：布娃娃、布沙包。分类标准是材质。 | 塑料皮球和塑料积木一组，布娃娃和布沙包一组，按材质分","题目已经说明皮球和积木是塑料材质，娃娃和沙包是布材质，所以按材质分成塑料类和布类。","grade-pass-sample"
"bnu-primary-ds-v1-p1-063","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","下面有一些图形：红色圆形、蓝色正方形、红色三角形、蓝色圆形、红色正方形。请你按颜色分一分，并说一说红色图形和蓝色图形各有多少个。","","红色图形有3个，蓝色图形有2个","红色图形有3个，蓝色图形有2个 | 红色：3个，蓝色：2个","红色图形有圆形、三角形、正方形，共3个；蓝色图形有正方形、圆形，共2个。","grade-pass-sample"
"bnu-primary-ds-v1-p1-064","P1","upper","bnu-primary-p1-upper-classification","分类","multiple-choice","Core","老师让同学们把书包里的东西分一分。下面哪种分法最合理？","按新旧分 | 按大小分 | 按用途分，分成学习用品和生活用品 | 按颜色分","按用途分，分成学习用品和生活用品","按用途分，分成学习用品和生活用品","书包里的东西主要是学习用的，比如书本、笔，也可能有生活用品，比如纸巾，按用途分最清楚。","grade-pass-sample"
"bnu-primary-ds-v1-p1-069","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","short-answer","Core","小动物们住在不同的楼层。小猴住在小兔的上面，小兔住在小狗的上面。请你按从高到低的顺序说出它们住的楼层。","","小猴、小兔、小狗","小猴、小兔、小狗 | 小猴，小兔，小狗","小猴在小兔上面，小兔在小狗上面，所以从高到低依次是小猴、小兔、小狗。","grade-pass-sample"
"bnu-primary-ds-v1-p1-074","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","fill-in","Foundation","体育课上，同学们站成一排。老师喊口令：“向左转！”小明转对了，但他左边的小红转错了，变成了面向小明。这时小红在小明的哪一边？","","右边","右边 | 右","向左转后，小明面向左，小红转错面向小明，即小红在小明的右侧。因为两人面对面，小红在小明的右手方向。","grade-pass-sample"
"bnu-primary-ds-v1-p1-082","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","multiple-choice","Foundation","下面哪个物品的形状是球？","A. 铅笔 | B. 足球 | C. 字典 | D. 水杯","B. 足球","B. 足球","足球的形状是球，铅笔是细长的圆柱，字典是长方体，水杯是圆柱。","grade-pass-sample"
"bnu-primary-ds-v1-p1-086","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","fill-in","Foundation","把下面的物品和对应的形状连起来，填序号。\n① 魔方  ② 皮球  ③ 铅笔  ④ 鞋盒\n正方体：______  球：______  圆柱：______  长方体：______","","①,②,③,④","①,②,③,④ | ① ② ③ ④ | ①、②、③、④","魔方是正方体，皮球是球，铅笔是圆柱，鞋盒是长方体。","grade-pass-sample"
"bnu-primary-ds-v1-p1-099","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","short-answer","Core","小明有15支铅笔，送给同学5支，他还剩多少支？请写出算式和得数。","","15-5=10","15-5=10 | 15-5=10（支） | 15-5=10支","15支铅笔，送出5支，用减法：15-5=10。15里面有1个十和5个一，减去5个一，剩下1个十，就是10支。","grade-pass-sample"
"bnu-primary-ds-v1-p1-104","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","fill-in","Foundation","19里面有（ ）个十和（ ）个一。","","1,9","1,9 | 1个十和9个一","19的十位是1，个位是9，所以是1个十和9个一。","grade-pass-sample"
"bnu-primary-ds-v1-p1-108","P1","upper","bnu-primary-p1-upper-within-20-add-sub","加与减（二）","short-answer","Foundation","妈妈买了12个苹果，吃了2个，还剩几个？","","10","10","12可以分成10和2，吃掉2个，剩下10个。","grade-pass-sample"
"bnu-primary-ds-v1-p1-115","P1","upper","bnu-primary-p1-upper-clock-introduction","认识钟表","multiple-choice","Core","下面哪个时间表示整时？","分针指向12，时针指向3 | 分针指向6，时针指向3 | 分针指向12，时针指向12和1之间 | 分针指向1，时针指向3","分针指向12，时针指向3","分针指向12，时针指向3","整时的时候分针指向12，时针指向一个数字。只有第一个选项符合。","grade-pass-sample"
