id,family,grade,status
"us-ca-k5-verified-templates-v4-01-1","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v4-01-2","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v4-01-3","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v4-02-1","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v4-02-2","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v4-02-3","k5_count_before","P1","verified"
"us-ca-k5-verified-templates-v4-03-1","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v4-03-2","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v4-03-3","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v4-04-1","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v4-04-2","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v4-04-3","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v4-05-1","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v4-05-2","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v4-05-3","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v4-06-1","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v4-06-2","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v4-06-3","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v4-07-1","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v4-07-2","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v4-07-3","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v4-08-1","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v4-08-2","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v4-08-3","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v4-09-1","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v4-09-2","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v4-09-3","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v4-10-1","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-10-2","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-10-3","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-11-1","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-11-2","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-11-3","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v4-12-1","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v4-12-2","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v4-12-3","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v4-13-1","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v4-13-2","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v4-13-3","k5_sub_within_100","P2","verified"
"us-ca-k5-verified-templates-v4-14-1","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-14-2","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-14-3","k5_add_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-15-1","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-15-2","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-15-3","k5_sub_within_1000","P2","verified"
"us-ca-k5-verified-templates-v4-16-1","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v4-16-2","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v4-16-3","k5_arithmetic_pattern","P4","verified"
"us-ca-k5-verified-templates-v4-17-1","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v4-17-2","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v4-17-3","k5_mult_fact","P3","verified"
"us-ca-k5-verified-templates-v4-18-1","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v4-18-2","k5_div_fact","P3","verified"
"us-ca-k5-verified-templates-v4-18-3","k5_div_fact","P3","verified"
