"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-p1-lower-001","P1","lower","multiple-choice","Foundation","认识平面图形","pass","none","一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠","一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠","一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠","shape-count-option-match","geometry-classification","pass","solver:shape-count-option-match","小美用七巧板拼出了一个图形，她数了数，发现这个图形中长方形有2个，正方形有1个，三角形有3个。下面哪个图形可能是小美拼出的？"
"pep-primary-p1-lower-002","P1","lower","fill-in","Core","破十法","pass","none","2, 2, 5","2, 2, 5 | 2，2，5 | 2 2 5","2, 2, 5","direct-equation-blanks","arithmetic","pass","solver:direct-equation-blanks","计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = __，再算 __ + 3 = __。请按顺序填写三个空。"
"pep-primary-p1-lower-003","P1","lower","short-answer","Challenge","数的顺序","pass","none","40，规律是每次加5","40，规律是每次加5 | 40, 每次加5 | 40 每次加5 | 40 规律是每次加5 | 40，每次加5 | 40 每次增加5 | 40，每次增加5","40","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：25, 30, 35, __, 45, 50。请写出缺少的数，并说明规律。"
"pep-primary-p1-lower-004","P1","lower","multiple-choice","Exam","认识人民币","pass","none","够，还剩2元5角","够，还剩2元5角 | 够，还剩2.5元","够，还剩2元5角","money-total-cost-comparison","money","pass","solver:money-total-cost-comparison","小华有1张5元，2张1元，3枚5角。他想买一本6元的笔记本，他的钱够吗？"
"pep-primary-p1-lower-005","P1","lower","fill-in","Foundation","找规律","pass","none","10","10","10","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","找规律填数：2, 4, 6, 8, __, 12。请填写缺少的数。"
"pep-primary-p1-lower-006","P1","lower","short-answer","Core","分类观察","solver-gap","manual-required","12","12 | 12张","","","","not-run","solver:no deterministic solver matched this free-form item","老师给小朋友分图形卡片，有正方形、三角形、圆形三种。小明说：“我按形状分类，正方形有5张，三角形有3张，圆形有4张。”小红说：“我按颜色分类，红色有6张，蓝色有4张，黄色有2张。”请问图形卡片一共有多少张？"
"pep-primary-p1-lower-007","P1","lower","multiple-choice","Challenge","想加算减","pass","none","5 + 7 = 12，所以12 - 5 = 7","5 + 7 = 12，所以12 - 5 = 7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","计算12 - 5时，想：5 + __ = 12，所以12 - 5 = __。下面哪个选项正确？"
"pep-primary-p1-lower-008","P1","lower","fill-in","Foundation","比较大小","pass","none","<","< | 小于","<","comparison-symbol-direct","comparison","pass","solver:comparison-symbol-direct","比较大小：45 __ 54。请填“>”、“<”或“=”。"
"pep-primary-p1-lower-009","P1","lower","short-answer","Core","情境应用","solver-gap","manual-required","3×2=6元，6+5=11元，一共11元","3×2=6元，6+5=11元，一共11元 | 3×2=6 6+5=11 11元 | 2+2+2=6元 6+5=11元 一共11元 | 11元 | 11","","","","not-run","solver:no deterministic solver matched this free-form item","妈妈去超市买了3个苹果，每个苹果2元，又买了一盒5元的牛奶。妈妈一共花了多少钱？请写出算式和答案。"
"pep-primary-p1-lower-010","P1","lower","multiple-choice","Challenge","100以内加减法","pass","none","31人","31人","31","bus-change-story","arithmetic-application","pass","solver:bus-change-story","公交车上原来有34人，到站后下去15人，又上来12人。现在车上有多少人？"
