"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v1-s4-004","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","变式0004：选择：设集合 A={1,2,3,...,69}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。","14 | 12 | 15 | 13","13","13","B 中元素为不超过 69 的 5 的倍数，共 floor(69/5)=13 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-007","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","变式0007：选择：设集合 A={1,2,3,...,58}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","6 | 4 | 5 | 7","5","5","B 中元素为不超过 58 的 11 的倍数，共 floor(58/11)=5 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-009","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","变式0009：解答：设集合 A={1,2,3,...,65}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。","","13","13","B 中元素为不超过 65 的 5 的倍数，共 floor(65/5)=13 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-012","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","变式0012：解答：设集合 A={1,2,3,...,44}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。","","6","6","B 中元素为不超过 44 的 7 的倍数，共 floor(44/7)=6 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-014","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","变式0014：填空：设集合 A={1,2,3,...,110}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。","","15","15","B 中元素为不超过 110 的 7 的倍数，共 floor(110/7)=15 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-022","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","变式0022：选择：设集合 A={1,2,3,...,58}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。","15 | 13 | 16 | 14","14","14","B 中元素为不超过 58 的 4 的倍数，共 floor(58/4)=14 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-024","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","变式0024：解答：设集合 A={1,2,3,...,72}，集合 B 为其中能被 5 整除的数。求集合 B 的元素个数。","","14","14","B 中元素为不超过 72 的 5 的倍数，共 floor(72/5)=14 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-030","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","变式0030：解答：设集合 A={1,2,3,...,120}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","","15","15","B 中元素为不超过 120 的 8 的倍数，共 floor(120/8)=15 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-040","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","变式0040：选择：设集合 A={1,2,3,...,76}，集合 B 为其中能被 7 整除的数。求集合 B 的元素个数。","11 | 9 | 12 | 10","10","10","B 中元素为不超过 76 的 7 的倍数，共 floor(76/7)=10 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-042","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","变式0042：解答：设集合 A={1,2,3,...,78}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","","7","7","B 中元素为不超过 78 的 11 的倍数，共 floor(78/11)=7 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-047","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","变式0047：填空：设集合 A={1,2,3,...,164}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","","14","14","B 中元素为不超过 164 的 11 的倍数，共 floor(164/11)=14 个。","grade-pass-sample"
"hjb-high-ds-v1-s4-052","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Exam","变式0052：选择：解不等式 x+11>8，求 x 的取值范围右端常数 8-11 的值。","-3 | -2 | -4 | -1","-3","-3","两边同时减去 11，得 x>8-11=-3。","grade-pass-sample"
"hjb-high-ds-v1-s4-059","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","变式0059：填空：解不等式 x+11>10，求 x 的取值范围右端常数 10-11 的值。","","-1","-1","两边同时减去 11，得 x>10-11=-1。","grade-pass-sample"
"hjb-high-ds-v1-s4-080","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","变式0080：填空：解不等式 x+9>20，求 x 的取值范围右端常数 20-9 的值。","","11","11","两边同时减去 9，得 x>20-9=11。","grade-pass-sample"
"hjb-high-ds-v1-s4-083","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","变式0083：填空：解不等式 x+8>18，求 x 的取值范围右端常数 18-8 的值。","","10","10","两边同时减去 8，得 x>18-8=10。","grade-pass-sample"
"hjb-high-ds-v1-s4-096","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Exam","变式0096：解答：解不等式 x+6>14，求 x 的取值范围右端常数 14-6 的值。","","8","8","两边同时减去 6，得 x>14-6=8。","grade-pass-sample"
"hjb-high-ds-v1-s4-122","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","变式0122：填空：已知 log_3(3^5)=m，求 m。","","5","5","由对数定义，log_3(3^5)=5，所以 m=5。","grade-pass-sample"
"hjb-high-ds-v1-s4-136","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","变式0136：选择：已知 log_10(10^18)=m，求 m。","19 | 18 | 17 | 20","18","18","由对数定义，log_10(10^18)=18，所以 m=18。","grade-pass-sample"
"hjb-high-ds-v1-s4-176","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Exam","变式0176：填空：函数 f(x)=6^x，求 f(2)。","","36","36","代入 x=2，f(2)=6^2=36。","grade-pass-sample"
"hjb-high-ds-v1-s4-195","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Foundation","变式0195：解答：函数 f(x)=8^x，求 f(2)。","","64","64","代入 x=2，f(2)=8^2=64。","grade-pass-sample"
"hjb-high-ds-v1-s4-200","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Exam","变式0200：填空：函数 f(x)=3^x，求 f(2)。","","9","9","代入 x=2，f(2)=3^2=9。","grade-pass-sample"
"hjb-high-ds-v1-s4-212","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","变式0212：填空：已知 f(x)=5x+4，求 f(19)。","","99","99","f(19)=5×19+4=99。","grade-pass-sample"
"hjb-high-ds-v1-s4-217","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","变式0217：选择：已知 f(x)=7x+11，求 f(18)。","144 | 137 | 130 | 151","137","137","f(18)=7×18+11=137。","grade-pass-sample"
"hjb-high-ds-v1-s4-232","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","变式0232：选择：已知 f(x)=6x+12，求 f(7)。","54 | 60 | 48 | 66","54","54","f(7)=6×7+12=54。","grade-pass-sample"
"hjb-high-ds-v1-s4-252","S4","必修 第二册","三角","三角","short-answer","Core","变式0252：解答：在三角形 ABC 中，若 AB=8，AC=4，且 ∠A=60°，表达式 AB·AC 的值是多少？","","32","32","AB·AC 只表示两边长度乘积，8×4=32。","grade-pass-sample"
"hjb-high-ds-v1-s4-260","S4","必修 第二册","三角","三角","fill-in","Foundation","变式0260：填空：在三角形 ABC 中，若 AB=12，AC=18，且 ∠A=60°，表达式 AB·AC 的值是多少？","","216","216","AB·AC 只表示两边长度乘积，12×18=216。","grade-pass-sample"
"hjb-high-ds-v1-s4-271","S4","必修 第二册","三角","三角","multiple-choice","Challenge","变式0271：选择：在三角形 ABC 中，若 AB=11，AC=20，且 ∠A=60°，表达式 AB·AC 的值是多少？","231 | 220 | 209 | 242","220","220","AB·AC 只表示两边长度乘积，11×20=220。","grade-pass-sample"
"hjb-high-ds-v1-s4-293","S4","必修 第二册","三角","三角","fill-in","Foundation","变式0293：填空：在三角形 ABC 中，若 AB=6，AC=14，且 ∠A=60°，表达式 AB·AC 的值是多少？","","84","84","AB·AC 只表示两边长度乘积，6×14=84。","grade-pass-sample"
"hjb-high-ds-v1-s4-296","S4","必修 第二册","三角","三角","fill-in","Foundation","变式0296：填空：在三角形 ABC 中，若 AB=8，AC=11，且 ∠A=60°，表达式 AB·AC 的值是多少？","","88","88","AB·AC 只表示两边长度乘积，8×11=88。","grade-pass-sample"
"hjb-high-ds-v1-s4-297","S4","必修 第二册","三角","三角","short-answer","Core","变式0297：解答：在三角形 ABC 中，若 AB=11，AC=18，且 ∠A=60°，表达式 AB·AC 的值是多少？","","198","198","AB·AC 只表示两边长度乘积，11×18=198。","grade-pass-sample"
