"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v3-s4-002","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","V3修复变式0002：填空：设集合 A={1,2,3,...,31}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","6","6","|B|=floor(31/9)=3，|C|=floor(31/10)=3，|B∩C|=floor(31/90)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。","mandatory-original-p2-recheck"
"hjb-high-ds-v3-s4-004","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","V3修复变式0004：选择：设集合 A={1,2,3,...,134}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","22 | 25 | 23 | 24","23","23","|B|=floor(134/10)=13，|C|=floor(134/11)=12，|B∩C|=floor(134/110)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=23。","mandatory-original-p2-recheck"
"hjb-high-ds-v3-s4-007","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","V3修复变式0007：选择：设集合 A={1,2,3,...,84}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","15 | 13 | 16 | 14","14","14","B 中元素为不超过 84 的 6 的倍数，共 floor(84/6)=14 个。","fresh-200-sample-fill"
"hjb-high-ds-v3-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","V3修复变式0008：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","6","6","|B|=floor(34/10)=3，|C|=floor(34/11)=3，|B∩C|=floor(34/110)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。","mandatory-original-p2-recheck"
"hjb-high-ds-v3-s4-034","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","V3修复变式0034：选择：设集合 A={1,2,3,...,26}，B 为 A 中能被 2 整除的数，C 为 A 中能被 3 整除的数。求只属于 B 和 C 中一个集合的元素个数。","14 | 12 | 15 | 13","13","13","|B|=floor(26/2)=13，|C|=floor(26/3)=8，|B∩C|=floor(26/6)=4。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=13。","mandatory-original-p2-recheck"
"hjb-high-ds-v3-s4-044","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","V3修复变式0044：填空：设集合 A={1,2,3,...,102}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","21","21","|B|=floor(102/8)=12，|C|=floor(102/9)=11，|B∩C|=floor(102/72)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=21。","mandatory-original-p2-recheck"
"hjb-high-ds-v3-s4-053","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Core","V3修复变式0053：填空：解不等式 x+5>17，求 x 的取值范围右端常数 17-5 的值。","","12","12","两边同时减去 5，得 x>17-5=12。","fresh-200-sample-fill"
"hjb-high-ds-v3-s4-054","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Challenge","V3修复变式0054：解答：求不等式组 x+2>14，x≤19 的整数解个数。","","7","7","由 x+2>14 得 x>12。又 x≤19，整数 x 为 13 到 19，共有 19-12=7 个。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v3-s4-058","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","V3修复变式0058：选择：求不等式组 x+10>19，x≤15 的整数解个数。","8 | 6 | 7 | 5","6","6","由 x+10>19 得 x>9。又 x≤15，整数 x 为 10 到 15，共有 15-9=6 个。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v3-s4-067","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Foundation","V3修复变式0067：选择：解不等式 x+7>18，求 x 的取值范围右端常数 18-7 的值。","12 | 11 | 10 | 13","11","11","两边同时减去 7，得 x>18-7=11。","fresh-200-sample-fill"
