id,family,grade,status
"us-ca-k5-verified-templates-v2-01-1","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v2-01-2","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v2-01-3","k5_count_next","K","verified"
"us-ca-k5-verified-templates-v2-02-1","k5_count_before","K","verified"
"us-ca-k5-verified-templates-v2-02-2","k5_count_before","K","verified"
"us-ca-k5-verified-templates-v2-02-3","k5_count_before","K","verified"
"us-ca-k5-verified-templates-v2-03-1","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v2-03-2","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v2-03-3","k5_skip_count","P2","verified"
"us-ca-k5-verified-templates-v2-04-1","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v2-04-2","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v2-04-3","k5_compare_numbers","P1","verified"
"us-ca-k5-verified-templates-v2-05-1","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v2-05-2","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v2-05-3","k5_teen_ones","K","verified"
"us-ca-k5-verified-templates-v2-06-1","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v2-06-2","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v2-06-3","k5_add_within_10","K","verified"
"us-ca-k5-verified-templates-v2-07-1","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v2-07-2","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v2-07-3","k5_sub_within_10","K","verified"
"us-ca-k5-verified-templates-v2-08-1","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v2-08-2","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v2-08-3","k5_make_ten","K","verified"
"us-ca-k5-verified-templates-v2-09-1","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v2-09-2","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v2-09-3","k5_decompose_within_ten","K","verified"
"us-ca-k5-verified-templates-v2-10-1","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-10-2","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-10-3","k5_add_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-11-1","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-11-2","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-11-3","k5_sub_within_20","P1","verified"
"us-ca-k5-verified-templates-v2-12-1","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v2-12-2","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v2-12-3","k5_add_within_100","P1","verified"
"us-ca-k5-verified-templates-v2-13-1","k5_sub_within_100","P2","verified"
