id,grade,topicId,topicTitleZhHans,volume,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
hjb-high-ds-v3-s4-001,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,multiple-choice,"V3安全变式0001：选择：设全集 U={1,2,3,...,119}，A 为 U 中能被 6 整除的数，B 为 U 中能被 13 整除的数。求 A∪B 的元素个数。",29 | 25 | 27 | 31,27,27,分别有 19 个和 9 个，交集为 1 个，所以并集元素个数为 27。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-002,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,fill-in,"V3安全变式0002：填空：设全集 U={1,2,3,...,123}，A 为 U 中能被 6 整除的数，B 为 U 中能被 14 整除的数。求 A∪B 的元素个数。",,26,26,分别有 20 个和 8 个，交集为 2 个，所以并集元素个数为 26。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-003,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,short-answer,"V3安全变式0003：解答：设全集 U={1,2,3,...,123}，A 为 U 中能被 7 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。",,26,26,分别有 17 个和 10 个，交集为 1 个，所以并集元素个数为 26。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-004,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,multiple-choice,"V3安全变式0004：选择：设全集 U={1,2,3,...,106}，A 为 U 中能被 6 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。",19 | 17 | 15 | 21,17,17,分别有 17 个和 8 个，交集为 8 个，所以并集元素个数为 17。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-005,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,fill-in,"V3安全变式0005：填空：设全集 U={1,2,3,...,135}，A 为 U 中能被 7 整除的数，B 为 U 中能被 14 整除的数。求 A∪B 的元素个数。",,19,19,分别有 19 个和 9 个，交集为 9 个，所以并集元素个数为 19。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-006,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,short-answer,"V3安全变式0006：解答：设全集 U={1,2,3,...,71}，A 为 U 中能被 3 整除的数，B 为 U 中能被 10 整除的数。求 A∪B 的元素个数。",,28,28,分别有 23 个和 7 个，交集为 2 个，所以并集元素个数为 28。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-007,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,multiple-choice,"V3安全变式0007：选择：设全集 U={1,2,3,...,106}，A 为 U 中能被 5 整除的数，B 为 U 中能被 14 整除的数。求 A∪B 的元素个数。",27 | 29 | 25 | 31,27,27,分别有 21 个和 7 个，交集为 1 个，所以并集元素个数为 27。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-008,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,fill-in,"V3安全变式0008：填空：设全集 U={1,2,3,...,165}，A 为 U 中能被 8 整除的数，B 为 U 中能被 16 整除的数。求 A∪B 的元素个数。",,20,20,分别有 20 个和 10 个，交集为 10 个，所以并集元素个数为 20。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-009,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,short-answer,"V3安全变式0009：解答：设全集 U={1,2,3,...,160}，A 为 U 中能被 8 整除的数，B 为 U 中能被 15 整除的数。求 A∪B 的元素个数。",,29,29,分别有 20 个和 10 个，交集为 1 个，所以并集元素个数为 29。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
hjb-high-ds-v3-s4-010,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,multiple-choice,"V3安全变式0010：选择：设全集 U={1,2,3,...,104}，A 为 U 中能被 6 整除的数，B 为 U 中能被 11 整除的数。求 A∪B 的元素个数。",25 | 27 | 23 | 29,25,25,分别有 17 个和 9 个，交集为 1 个，所以并集元素个数为 25。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,Generated as V3 candidate by deterministic MAIS safe-template fallback from committed HJB safe-RAG metadata after bl auth preflight found no DashScope API key; manual S18 review required before app integration.
