"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","p2IssueCodes","notes"
"hjb-high-ds-v4-s4-002","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-008","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-024","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-028","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-034","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-039","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-041","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-050","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-051","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-056","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-070","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-107","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-122","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-126","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-127","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-134","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-148","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-160","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-163","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-170","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-174","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-176","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-186","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-198","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-200","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-204","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-208","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-212","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-214","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-218","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-235","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-244","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-250","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-251","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-253","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: challenge-exam-targeted-p2-sweep."
"hjb-high-ds-v4-s4-254","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-262","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-263","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-264","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-266","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-283","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-288","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-289","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-306","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-307","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-308","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-313","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: mandatory-original-p2-recheck."
"hjb-high-ds-v4-s4-329","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-338","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-348","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
"hjb-high-ds-v4-s4-352","S4","S18/Codex manual re-review","pass","pass","pass","manual-re-review-pass","","Manual re-review pass after V4 P2 remediation. Review reason: fresh-150-sample-fill."
