questionId,curriculumTrack,batch,grade,topicId,type,storedAnswer,independentAnswer,status,severity,notes
q1,HK,hk,S1,integers,multiple-choice,5,5,pass,none,OK
q2,HK,hk,S1,algebra-basics,fill-in,5x,5x,pass,none,OK
q3,HK,hk,S2,coordinates,multiple-choice,IV,IV,pass,none,OK
q4,HK,hk,S2,linear-equations,fill-in,4,4,pass,none,OK
q5,HK,hk,S3,quadratic-patterns,multiple-choice,x = 2,x = 2,pass,none,OK
q6,HK,hk,S3,trigonometry-basics,short-answer,3/5,3/5,pass,none,OK
q7,HK,hk,S4,functions,multiple-choice,7,7,pass,none,OK
q8,HK,hk,S4,coordinate-geometry,short-answer,3,3,pass,none,OK
q9,HK,hk,S5,probability-s5,multiple-choice,1/2,1/2,pass,none,OK
q10,HK,hk,S5,differentiation-intro,short-answer,2x,2x,pass,none,OK
q11,HK,hk,S6,calculus,multiple-choice,Local maximum,Local maximum,pass,none,OK
q12,HK,hk,S6,statistics-s6,fill-in,2,2,pass,none,OK
q13,HK,hk,S1,angles,multiple-choice,115°,115°,pass,none,OK
q14,HK,hk,S1,ratios,short-answer,2:3,2:3,pass,none,OK
q15,HK,hk,S1,statistics-s1,short-answer,7,7,pass,none,OK
q16,HK,hk,S2,transformations,multiple-choice,"(-3, -2)","(-3, -2)",pass,none,OK
q17,HK,hk,S2,probability-s2,multiple-choice,2/5,2/5,pass,none,OK
q18,HK,hk,S3,polynomials,short-answer,x^2 + 5x + 6,x^2 + 5x + 6,pass,none,OK
q19,HK,hk,S3,circles,multiple-choice,50°,50°,pass,none,OK
q20,HK,hk,S4,more-algebra,short-answer,x^2,x^2,pass,none,OK
q21,HK,hk,S4,data-handling,short-answer,6,6,pass,none,OK
q22,HK,hk,S5,advanced-functions,multiple-choice,5,5,pass,none,OK
q23,HK,hk,S5,trigonometry-s5,short-answer,30°,30°,pass,none,OK
q24,HK,hk,S6,exam-revision,multiple-choice,1.5,1.5,pass,none,OK
q25,HK,hk,S6,mixed-problem-solving,multiple-choice,List given facts and the target,List given facts and the target,pass,none,OK
q26,HK,hk,S2,coordinates,fill-in,-2,-2,pass,none,OK
q27,HK,hk,S2,transformations,short-answer,x coordinate changes sign,x coordinate changes sign,pass,none,OK
q28,HK,hk,S2,coordinates,graph,1,1,pass,none,OK
pq-p1-counting-number-bonds-1,HK,hk,P1,p1-counting-number-bonds,multiple-choice,3,3,pass,none,OK
pq-p1-counting-number-bonds-2,HK,hk,P1,p1-counting-number-bonds,short-answer,19,19,pass,none,OK
pq-p1-addition-subtraction-1,HK,hk,P1,p1-addition-subtraction,multiple-choice,5,5,pass,none,OK
pq-p1-addition-subtraction-2,HK,hk,P1,p1-addition-subtraction,short-answer,14,14,pass,none,OK
pq-p1-shapes-patterns-1,HK,hk,P1,p1-shapes-patterns,multiple-choice,triangle,triangle,pass,none,OK
pq-p1-shapes-patterns-2,HK,hk,P1,p1-shapes-patterns,multiple-choice,circle,circle,pass,none,OK
pq-p1-measurement-time-1,HK,hk,P1,p1-measurement-time,multiple-choice,a classroom door,a classroom door,pass,none,OK
pq-p1-measurement-time-2,HK,hk,P1,p1-measurement-time,short-answer,3 o'clock,3 o'clock,pass,none,OK
pq-p2-place-value-1,HK,hk,P2,p2-place-value,multiple-choice,8,8,pass,none,OK
pq-p2-place-value-2,HK,hk,P2,p2-place-value,short-answer,346,346,pass,none,OK
pq-p2-multiplication-foundations-1,HK,hk,P2,p2-multiplication-foundations,multiple-choice,3 x 4,3 x 4,pass,none,OK
pq-p2-multiplication-foundations-2,HK,hk,P2,p2-multiplication-foundations,short-answer,10,10,pass,none,OK
pq-p2-money-time-1,HK,hk,P2,p2-money-time,multiple-choice,HK$2,HK$2,pass,none,OK
pq-p2-money-time-2,HK,hk,P2,p2-money-time,short-answer,4:30,4:30,pass,none,OK
pq-p2-length-data-1,HK,hk,P2,p2-length-data,short-answer,13 cm,13 cm,pass,none,OK
pq-p2-length-data-2,HK,hk,P2,p2-length-data,multiple-choice,10,10,pass,none,OK
